Energy (KeV)	Coef At Lin (cm-1)

1.00	7259.520000
1.04	6627.840000
1.07	6048.000000
1.07	6059.520000
1.18	4673.280000
1.31	3596.160000
1.31	3615.360000
1.50	2486.400000
2.00	1126.848000
2.15	926.208000
2.15	1365.888000
2.30	1135.872000
2.47	942.144000
2.47	952.704000
3.00	567.936000
4.00	255.552000
4.04	248.832000
4.04	639.744000
5.00	368.064000
6.00	224.832000
8.00	102.201600
10.00	54.739200
15.00	17.341440
20.00	7.681920
30.00	2.555520
40.00	1.277760
50.00	0.814464
60.00	0.604416
80.00	0.427968
100.00	0.356160
150.00	0.284160
200.00	0.251328
300.00	0.213696
400.00	0.190234
500.00	0.173222
600.00	0.159974
800.00	0.140314
1000.00	0.126067
1250.00	0.112723
1500.00	0.102643
2000.00	0.088454
3000.00	0.071904
4000.00	0.062534
5000.00	0.056563
6000.00	0.052493
8000.00	0.047366
10000.00	0.044429
15000.00	0.040934
20000.00	0.039706
