Energy (KeV)	Coef At Lin (cm-1)

1.00	3934.720000
1.04	3589.160000
1.07	3272.220000
1.07	3284.940000
1.50	1326.060000
2.00	593.176000
2.15	485.798000
2.15	492.900000
2.30	402.800000
2.47	328.812000
2.47	334.748000
2.64	276.872000
2.82	228.748000
2.82	231.928000
3.00	194.616000
3.61	113.738000
3.61	117.130000
4.00	86.506600
5.00	44.774400
6.00	26.033600
8.00	11.045200
10.00	5.701740
15.00	1.800940
20.00	0.872380
30.00	0.401740
40.00	0.284928
50.00	0.239984
60.00	0.217088
80.00	0.193238
100.00	0.179458
150.00	0.158152
200.00	0.143948
300.00	0.124550
400.00	0.111512
500.00	0.101739
600.00	0.094054
800.00	0.082606
1000.00	0.074264
1250.00	0.066409
1500.00	0.060431
2000.00	0.051887
3000.00	0.041669
4000.00	0.035711
5000.00	0.031800
6000.00	0.029055
8000.00	0.025451
10000.00	0.023246
15000.00	0.020299
20000.00	0.018942
