Energy (KeV)	Coef At Lin (cm-1)

1	3328.26
1.03542	3034.5
1.0721	2764.2
1.0721	2770.32
1.5	1109.76
2	493.884
2.1455	404.022
2.1455	406.266
2.30297	331.5
2.472	270.198
2.472	273.972
2.6414	226.542
2.8224	186.762
2.8224	188.19
3	157.692
4	67.575
5	34.7514
6	20.1144
8	8.4864
10	4.3809
15	1.40556
20	0.702678
30	0.347106
40	0.25806
50	0.222972
60	0.204612
80	0.184416
100	0.172176
150	0.152286
200	0.138822
300	0.120258
400	0.10761
500	0.098236
600	0.090821
800	0.079764
1000	0.071716
1250	0.064127
1500	0.058354
2000	0.050082
3000	0.040157
4000	0.034364
5000	0.030549
6000	0.027856
8000	0.024317
10000	0.022124
15000	0.019196
20000	0.017809
