Energy (KeV)	Coef At Lin (cm-1)

1.00	4.3452300
1.50	1.4351550
2.00	0.6361195
3.00	0.1958125
3.20	0.1614700
3.20	0.1789425
4.00	0.0938454
5.00	0.0485254
6.00	0.0282091
8.00	0.0119548
10.00	0.0061696
15.00	0.0019449
20.00	0.0009374
30.00	0.0004263
40.00	0.0002994
50.00	0.0002506
60.00	0.0002259
80.00	0.0002003
100.00	0.0001857
150.00	0.0001634
200.00	0.0001486
300.00	0.0001286
400.00	0.0001151
500.00	0.0001050
600.00	0.0000971
800.00	0.0000852
1000.00	0.0000766
1250.00	0.0000685
1500.00	0.0000624
2000.00	0.0000536
3000.00	0.0000432
4000.00	0.0000371
5000.00	0.0000331
6000.00	0.0000304
8000.00	0.0000268
10000.00	0.0000246
15000.00	0.0000218
20000.00	0.0000205
