Energy (KeV)	Coef At Lin (cm-1)

1.00	12322480.0000
1.50	4229840.0000
2.00	1932584.0000
2.47	1073592.0000
2.47	2365928.0000
3.00	1468456.0000
4.00	677544.0000
4.04	660376.0000
4.04	1448920.0000
5.00	834720.0000
6.00	511192.0000
8.00	232596.8000
10.00	124616.0000
15.00	39338.4000
20.00	17259.7600
30.00	5552.9600
40.00	2642.6880
50.00	1592.7760
60.00	1121.2480
80.00	732.3040
100.00	580.7520
150.00	440.1520
200.00	382.7280
300.00	322.0480
400.00	285.7288
500.00	259.7992
600.00	239.7600
800.00	210.1600
1000.00	188.7592
1250.00	168.7496
1500.00	153.7128
2000.00	132.8448
3000.00	108.8984
4000.00	95.6672
5000.00	87.4384
6000.00	81.9920
8000.00	75.3912
10000.00	71.8688
15000.00	68.2280
20000.00	67.5472

